All Time Rank,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,AirPlay Spins,Deezer Playlist Reach,Pandora Streams,Pandora Track Stations,Shazam Counts,Spotify Streams is NaN,Spotify Playlist Count is NaN,Spotify Playlist Reach is NaN,YouTube Views is NaN,YouTube Likes is NaN,TikTok Posts is NaN,TikTok Likes is NaN,TikTok Views is NaN,YouTube Playlist Reach is NaN,AirPlay Spins is NaN,Deezer Playlist Reach is NaN,Pandora Streams is NaN,Pandora Track Stations is NaN,Shazam Counts is NaN,Track Score,Spotify Popularity,Apple Music Playlist Count,Deezer Playlist Count,Amazon Playlist Count,Spotify Popularity is NaN,Apple Music Playlist Count is NaN,Deezer Playlist Count is NaN,Amazon Playlist Count is NaN
1434,1590278292.0,259895.0,65869505.0,892426661.0,6706344.0,228568.0,72385788.0,587669621.0,202778447.0,146538.0,467038.0,536880285.0,538789.0,14002280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,71.0,153.0,111.0,77.0,0,0,0,0
1429,652636187.0,66904.0,13714193.0,2311416671.0,17336274.0,63700.0,14723222.0,176024075.0,367311169.0,11349.0,416578.0,65522469.0,19539.0,2288631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,62.0,64.0,228.0,1.0,0,0,0,0
1431,820172575.0,119464.0,35423440.0,236628412.0,5627099.0,42444.0,26272592.0,261554607.0,193665492.0,189979.0,1388976.0,48337267.0,39809.0,3795632.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,66.0,152.0,40.0,38.0,0,0,0,0
1433,749776475.0,98447.0,21788917.0,255815308.0,3672693.0,48025.0,27478023.0,250017692.0,303917292.0,162314.0,458830.0,90646001.0,13910.0,1953031.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9,65.0,129.0,225.0,33.0,0,0,0,0
1430,2397109372.0,287524.0,83050639.0,1554258622.0,11301317.0,202552.0,75080554.0,715739402.0,180177990.0,55139.15675280351,149377.0,85667349.25558099,87876.96578631453,29296074.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,38.9,74.0,23.0,29.0,25.348942172073343,0,0,0,1
1439,1624314065.0,175421.0,77421150.0,50292845.0,526148.0,1382427.0,103052825.0,1060409911.0,93415742.0,117778.0,1207198.0,390876857.0,322758.0,53850.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,72.0,331.0,152.0,83.0,0,0,0,0
1436,96829196.0,9383.0,1730849.0,1058000530.0,6138968.0,3510631.0,56260142.0,840026921.0,157188734.0,136.0,1294938.737745098,85667349.25558099,87876.96578631453,242965.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,38.8,58.0,3.0,32.31095406360424,4.0,0,0,1,0
1437,186482379.0,11318.0,9655843.0,123373203.0,596064.0,944307.6200758681,112637464.57127072,1161157789.8336556,960027238.0,123.0,2327932.0,3940214.0,1341.0,316408.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,38.8,63.50158061116965,2.0,10.0,1.0,1,0,0,0
1440,159483318.0,53828.0,5159560.0,22293256.0,275511.0,2957.0,360654.0,3252732.0,1602.0,160.0,67246.0,600074.0,528.0,301658.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,68.0,14.0,3.0,10.0,0,0,0,0
1441,382143321.0,98433.0,18158287.0,97046738.0,1206503.0,3427248.0,1773657538.0,12626614888.0,11006.0,116.0,100685.0,1117990.0,2788.0,3370245.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,65.0,7.0,5.0,25.348942172073343,0,0,0,1
1438,729825680.0,155380.0,26351002.0,286183927.0,2353107.0,33462.0,5970654.0,63035109.0,222320277.0,65842.0,721934.0,63014064.0,21492.0,2792929.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8,62.0,90.0,37.0,26.0,0,0,0,0
1444,497062969.0,39746.0,21866121.0,1089614100.0,3109366.0,666400.0,63170710.0,774581354.0,51691986.0,12701.0,1854950.0,73581243.0,13494.0,1647173.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,69.0,16.0,14.0,36.0,0,0,0,0
1443,222373201.0,24491.0,38080713.0,31161634.0,637860.0,58124.0,63927414.0,568978171.0,1674766604.0,31410.0,1130992.0,553799.0,1079.0,556768.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,63.50158061116965,50.0,36.0,37.0,1,0,0,0
1442,499262863.0,156928.0,20525072.0,131002845.0,1651190.0,210388.0,100113236.0,685647449.0,16171132.0,272.0,67108.0,3380486.0,9659.0,3065126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.7,70.0,22.0,7.0,25.348942172073343,0,0,0,1
1448,495840131.0,118862.0,32562324.0,387463291.0,5208321.0,449015.0,241463961.0,2643309542.0,29716281.0,1608.0,83840.0,5168428.0,5733.0,3204964.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6,70.0,27.0,4.0,2.0,0,0,0,0
